,series_title,primary_work_count,series_work_count,series_description,link
0,Crowner John Mystery,15,15,"Plot-wise, ""Crowner's Crusade"" is a prequel to the series, but #15 in publication order.",https://www.goodreads.com/series/41770-crowner-john-mystery
1,Patrick Grant,5,5,"Patrick Grant, a professor and amateur sleuth, in Oxford, England:",https://www.goodreads.com/series/85183-patrick-grant
2,Pendergast,17,19,"Aloysius X. L. Pendergast is an FBI agent. Praised as a ""ruthless descendant of Holmes"" (Publishers Weekly), Agent Pendergast has become one of crime fiction's most endearing characters Book # 2 (Reliquary) is the sequel of book # 1 (Relic) Books 5, 6 & 7 are part of the Diogenes trilogy Books 10, 11 & 12 are part of the Helen's trilogy",https://www.goodreads.com/series/40552-aloysius-pendergast
3,Arkady Renko,8,13,"Arkady Renko, a chief homicide inspector for the prosecutor's office, in Moscow, Russia:",https://www.goodreads.com/series/41080-arkady-renko
4,Monkeewrench,8,9,"Grace MacBride, founder of Monkeewrench, a game software company, in Minneapolis, Minnesota:",https://www.goodreads.com/series/43438-monkeewrench
5,A Chocoholic Mystery,16,18,"Lee McKinney, a divorcee who returns to Michigan to work for her aunt's chocolate business, in the Chocaholic mysteries:",https://www.goodreads.com/series/42722-a-chocoholic-mystery
6,Will Trent,8,13,"The Will Trent series takes place in Atlanta and features GBI special agent Will Trent, his partner Faith Mitchell, and Angie Polaski. The first two books in the series are Triptych and Fractured. Later, Sara Linton from The Grant County Series joins the series, and also appears in Undone, Broken, Fallen, Snatched (a novella), and Criminal.",https://www.goodreads.com/series/45015-will-trent
7,Ursula Blanchard,15,15,"Series of historical mysteries, set in the reign of Elizabeth I of England, featuring ""Ursula Blanchard"" (whose full name is Ursula Faldene Blanchard de la Roche Stannard).",https://www.goodreads.com/series/40849-ursula-blanchard
8,Robert MacDonald,46,46,"Chief Inspector Robert MacDonald, a ""London Scot"" and an avowed bachelor with a love for walking in the English countryside. In 28 of these books, he has the help of his assistant, Detective Inspector Reeves.",https://www.goodreads.com/series/76721-robert-macdonald
9,Alix London,4,4,"Alix London, a young art consultant, whose father was a convicted art forger, based in Seattle, Washington:",https://www.goodreads.com/series/113755-alix-london
10,James Bond (Original Series),14,27,"The original James Bond books as written by his creator, Ian Fleming. The books should be read in publication order. The exception is book 10 - The Spy Who Loved Mewhich is best read out of sequence, earlier or later in the series, so as not to break up the main sequence of 9 - Thunderball, 11 - On Her Majesty's Secret Service, 12 - You Only Live Twice, and 13 - The Man With the Golden Gunwhich MUSTbe read in that order. 2 - Live and Let Diemust be read before 6 - Doctor No.",https://www.goodreads.com/series/49623-james-bond-original-series
11,Albert Campion,26,26,"Albert Campion, a suave sleuth with noble blood, and his assistant Magersfontein Lugg, in London, England:",https://www.goodreads.com/series/55933-albert-campion
12,David Raker,8,9,"David Raker, a missing persons investigator, based in London, England:",https://www.goodreads.com/series/89508-david-raker
13,A Needlecraft Mystery,19,21,"The Needlecraft mysteries feature Betsy Devonshire who owns a needlecraft shop in Excelsior, Minnesota.",https://www.goodreads.com/series/40926-a-needlecraft-mystery
14,Irene Kelly,11,11,Irene Kelly is a reporter with a fierce integrity. Detective Frank Harriman is her lover and friend. A mystery series.,https://www.goodreads.com/series/40973-irene-kelly
15,Virgil Flowers,10,11,"Virgil Flowers, thrice-divorced, affable member of the Minnesota Bureau of Criminal Apprehension (BCA), who reports to .",https://www.goodreads.com/series/43717-virgil-flowers
